nodo_name,pid,name_pid
nitro5,1015651,java
nitro5,1015651,java
nitro5,1026,mysqld
nitro5,1275927,java
nitro5,1275927,java
nitro5,1377,dockerd
nitro5,1418921,containerd-shim
nitro5,1419154,java
nitro5,1419154,java
nitro5,1451,containerd
nitro5,1863,containerd-shim
nitro5,54159,containerd
nitro5,56078,containerd-shim
nitro5,56079,containerd-shim
nitro5,56080,containerd-shim
nitro5,56083,containerd-shim
nitro5,56306,kube-apiserver
nitro5,56306,kube-apiserver
nitro5,56309,kube-controller
nitro5,56325,kube-scheduler
nitro5,56517,kubelet
nitro5,56637,containerd-shim
nitro5,56697,kube-proxy
nitro5,56697,kube-proxy
nitro5,69222,containerd-shim
nitro5,70016,calico-node
nitro5,70017,calico-node
nitro5,70018,calico-node
nitro5,70019,calico-node
nitro5,70020,calico-node
nitro5,70021,calico-node
nitro5,70310,bird
nitro5,70311,bird6
nitro5,920113,containerd-shim
nitro5,920173,coredns
aspire,1129200,containerd-shim
aspire,1129258,kube-scheduler
aspire,1532,dockerd
aspire,1595265,containerd-shim
aspire,1595324,containerd-shim
aspire,1595783,java
aspire,1595783,java
aspire,1595975,java
aspire,1595975,java
aspire,3159860,containerd
aspire,3160515,kubelet
aspire,3160558,containerd-shim
aspire,3160613,kube-proxy
aspire,3160613,kube-proxy
aspire,3160773,containerd-shim
aspire,3161177,calico-node
aspire,3161178,calico-node
aspire,3161179,calico-node
aspire,3161180,calico-node
aspire,3161183,calico-node
aspire,3161184,calico-node
aspire,3161366,bird6
aspire,3161367,bird
scorpius,3292661,containerd-shim
scorpius,3292751,containerd-shim
scorpius,3292875,java
scorpius,3292875,java
scorpius,3292888,containerd-shim
scorpius,3292995,mysqld
scorpius,3293016,java
scorpius,3293016,java
scorpius,362006,containerd
scorpius,362475,kubelet
scorpius,362517,containerd-shim
scorpius,362568,kube-proxy
scorpius,362568,kube-proxy
scorpius,362712,containerd-shim
scorpius,363210,calico-node
scorpius,363211,calico-node
scorpius,363212,calico-node
scorpius,363213,calico-node
scorpius,363214,calico-node
scorpius,363216,calico-node
scorpius,363380,bird6
scorpius,363381,bird
scorpius,363454,containerd-shim
scorpius,363508,kube-controller
leo02,2148852,containerd-shim
leo02,2148905,coredns
leo02,2328168,containerd-shim
leo02,2328265,java
leo02,2328265,java
leo02,333076,containerd
leo02,333526,kubelet
leo02,333567,containerd-shim
leo02,333619,kube-proxy
leo02,333619,kube-proxy
leo02,333748,containerd-shim
leo02,334137,calico-node
leo02,334138,calico-node
leo02,334140,calico-node
leo02,334141,calico-node
leo02,334142,calico-node
leo02,334144,calico-node
leo02,334311,bird
leo02,334312,bird6
